Date,EWCOV_250
2008-09-11,-7770.9090519
2008-09-10,-7145.54567079
2008-09-09,-6565.96410991
2008-09-08,-6013.68189393
2008-09-05,-5250.72030271
2008-09-04,-4605.01363848
2008-09-03,-4093.83382834
2008-09-02,-3701.52807596
2008-09-01,-3289.03553039
2008-08-29,-2908.30930975
2008-08-28,-2489.84874195
2008-08-27,-1995.34792864
2008-08-26,-1440.02220919
2008-08-22,-916.424395606
2008-08-21,-253.141459025
2008-08-20,412.84816781
2008-08-19,1134.99192819
2008-08-18,1731.08543766
2008-08-15,2326.32186688
2008-08-14,2882.38911079
2008-08-13,3491.10669401
2008-08-12,4017.11558311
2008-08-11,4538.98277655
2008-08-08,5117.05613219
2008-08-07,5710.55859108
2008-08-06,6299.15102956
2008-08-05,6923.31690129
2008-08-04,7686.86683624
2008-08-01,8420.76456183
2008-07-31,9101.88957839
2008-07-30,9778.60676376
2008-07-29,10562.0666574
2008-07-28,11357.4643816
2008-07-25,12117.9215252
2008-07-24,12873.7008146
2008-07-23,13546.2389737
2008-07-22,14309.6601703
2008-07-21,15037.6823404
2008-07-18,15798.6681423
2008-07-17,16655.5819426
2008-07-16,17655.1605124
2008-07-15,18640.2887093
2008-07-14,19502.7894219
2008-07-11,20410.3214654
2008-07-10,21177.7686258
2008-07-09,21826.5856428
2008-07-08,22569.4216721
2008-07-07,23244.436304
2008-07-04,24024.5671177
2008-07-03,24745.6435604
2008-07-02,25522.2077657
2008-07-01,26249.9708803
2008-06-30,26835.3987589
2008-06-27,27521.2919216
2008-06-26,28223.4802101
2008-06-25,28781.2125813
2008-06-24,29374.0689072
2008-06-23,29937.9180551
2008-06-20,30552.0607704
2008-06-19,31081.8247123
2008-06-18,31565.9461959
2008-06-17,31947.1047999
2008-06-16,32398.1574489
2008-06-13,32843.5591152
2008-06-12,33303.9290679
2008-06-11,33834.7284982
2008-06-10,34263.9480042
2008-06-09,34644.9030082
2008-06-06,34998.4753216
2008-06-05,35264.6686976
2008-06-04,35557.3945506
2008-06-03,35763.1599687
2008-06-02,36020.0724986
2008-05-30,36231.7718761
2008-05-29,36429.446349
2008-05-28,36626.1884883
2008-05-27,36834.6920103
2008-05-23,37014.830902
2008-05-22,37100.3512305
2008-05-21,37168.917907
