Date,Equity,Peak,Drawdown
2000-11-20,81.9563747358,113.229781664,0.276194182031
2000-11-17,81.9563747358,113.229781664,0.276194182031
2000-11-16,81.9563747358,113.229781664,0.276194182031
2000-11-15,81.9563747358,113.229781664,0.276194182031
2000-11-14,81.9563747358,113.229781664,0.276194182031
2000-11-13,81.9563747358,113.229781664,0.276194182031
2000-11-10,81.9563747358,113.229781664,0.276194182031
2000-11-09,81.9563747358,113.229781664,0.276194182031
2000-11-08,81.9563747358,113.229781664,0.276194182031
2000-11-07,81.9563747358,113.229781664,0.276194182031
2000-11-06,81.9563747358,113.229781664,0.276194182031
2000-11-03,81.9563747358,113.229781664,0.276194182031
2000-11-02,81.9563747358,113.229781664,0.276194182031
2000-11-01,81.9563747358,113.229781664,0.276194182031
2000-10-31,81.9563747358,113.229781664,0.276194182031
2000-10-30,81.9563747358,113.229781664,0.276194182031
2000-10-27,81.9563747358,113.229781664,0.276194182031
2000-10-26,81.9563747358,113.229781664,0.276194182031
2000-10-25,81.9563747358,113.229781664,0.276194182031
2000-10-24,81.9563747358,113.229781664,0.276194182031
2000-10-23,81.9563747358,113.229781664,0.276194182031
2000-10-20,81.9563747358,113.229781664,0.276194182031
2000-10-19,81.9563747358,113.229781664,0.276194182031
2000-10-18,81.9563747358,113.229781664,0.276194182031
2000-10-17,81.9563747358,113.229781664,0.276194182031
2000-10-16,81.9563747358,113.229781664,0.276194182031
2000-10-13,81.9563747358,113.229781664,0.276194182031
2000-10-12,81.9563747358,113.229781664,0.276194182031
2000-10-11,81.9563747358,113.229781664,0.276194182031
2000-10-10,81.9563747358,113.229781664,0.276194182031
2000-10-09,81.9563747358,113.229781664,0.276194182031
2000-10-06,81.9563747358,113.229781664,0.276194182031
2000-10-05,81.9563747358,113.229781664,0.276194182031
2000-10-04,81.9563747358,113.229781664,0.276194182031
2000-10-03,81.9563747358,113.229781664,0.276194182031
2000-10-02,81.9563747358,113.229781664,0.276194182031
2000-09-29,81.9563747358,113.229781664,0.276194182031
2000-09-28,81.9563747358,113.229781664,0.276194182031
2000-09-27,81.9563747358,113.229781664,0.276194182031
2000-09-26,81.9563747358,113.229781664,0.276194182031
2000-09-25,81.9563747358,113.229781664,0.276194182031
2000-09-22,81.9563747358,113.229781664,0.276194182031
2000-09-21,81.9563747358,113.229781664,0.276194182031
2000-09-20,81.9563747358,113.229781664,0.276194182031
2000-09-19,81.9563747358,113.229781664,0.276194182031
2000-09-18,81.9563747358,113.229781664,0.276194182031
2000-09-15,81.9563747358,113.229781664,0.276194182031
2000-09-14,83.721349256,113.229781664,0.260606635236
2000-09-13,82.7341384715,113.229781664,0.269325284782
2000-09-12,83.721349256,113.229781664,0.260606635236
2000-09-11,84.0597850359,113.229781664,0.25761770622
2000-09-08,84.2986057561,113.229781664,0.255508537442
2000-09-07,85.4288535494,113.229781664,0.245526642426
2000-09-06,85.4990949377,113.229781664,0.244906298668
2000-09-05,86.2372680728,113.229781664,0.238387049719
2000-09-04,86.8196330375,113.229781664,0.233243836015
2000-09-01,86.7800424368,113.229781664,0.233593484316
2000-08-31,85.2181293845,113.229781664,0.247387673701
2000-08-30,84.4825104818,113.229781664,0.253884364694
2000-08-29,84.1147010304,113.229781664,0.257132710191
2000-08-25,83.8260727803,113.229781664,0.259681759088
2000-08-24,83.7405059982,113.229781664,0.260437450576
2000-08-23,83.8580006841,113.229781664,0.259399784653
2000-08-22,84.0955442881,113.229781664,0.257301894853
2000-08-21,84.0955442881,113.229781664,0.257301894853
2000-08-18,84.0955442881,113.229781664,0.257301894853
2000-08-17,84.0955442881,113.229781664,0.257301894853
2000-08-16,84.0955442881,113.229781664,0.257301894853
2000-08-15,84.0955442881,113.229781664,0.257301894853
2000-08-14,84.0955442881,113.229781664,0.257301894853
2000-08-11,84.0955442881,113.229781664,0.257301894853
2000-08-10,84.0955442881,113.229781664,0.257301894853
2000-08-09,84.0955442881,113.229781664,0.257301894853
2000-08-08,84.0955442881,113.229781664,0.257301894853
2000-08-07,84.0955442881,113.229781664,0.257301894853
2000-08-04,84.0955442881,113.229781664,0.257301894853
2000-08-03,84.0955442881,113.229781664,0.257301894853
2000-08-02,84.0955442881,113.229781664,0.257301894853
2000-08-01,84.0955442881,113.229781664,0.257301894853
2000-07-31,84.0955442881,113.229781664,0.257301894853
