Date,EWMA_250
2009-01-19,6138.5
2009-01-16,6137.5
2009-01-15,6136.5
2009-01-14,6135.5
2009-01-13,6134.5
2009-01-12,6133.5
2009-01-09,6132.5
2009-01-08,6131.5
2009-01-07,6130.5
2009-01-06,6129.5
2009-01-05,6128.5
2009-01-02,6127.5
2008-12-31,6126.5
2008-12-30,6125.5
2008-12-29,6124.5
2008-12-24,6123.5
2008-12-23,6122.5
2008-12-22,6121.5
2008-12-19,6120.5
2008-12-18,6119.5
2008-12-17,6118.5
2008-12-16,6117.5
2008-12-15,6116.5
2008-12-12,6115.5
2008-12-11,6114.5
2008-12-10,6113.5
2008-12-09,6112.5
2008-12-08,6111.5
2008-12-05,6110.5
2008-12-04,6109.5
2008-12-03,6108.5
2008-12-02,6107.5
2008-12-01,6106.5
2008-11-28,6105.5
2008-11-27,6104.5
2008-11-26,6103.5
2008-11-25,6102.5
2008-11-24,6101.5
2008-11-21,6100.5
2008-11-20,6099.5
2008-11-19,6098.5
2008-11-18,6097.5
2008-11-17,6096.5
2008-11-14,6095.5
2008-11-13,6094.5
2008-11-12,6093.5
2008-11-11,6092.5
2008-11-10,6091.5
2008-11-07,6090.5
2008-11-06,6089.5
2008-11-05,6088.5
2008-11-04,6087.5
2008-11-03,6086.5
2008-10-31,6085.5
2008-10-30,6084.5
2008-10-29,6083.5
2008-10-28,6082.5
2008-10-27,6081.5
2008-10-24,6080.5
2008-10-23,6079.5
2008-10-22,6078.5
2008-10-21,6077.5
2008-10-20,6076.5
2008-10-17,6075.5
2008-10-16,6074.5
2008-10-15,6073.5
2008-10-14,6072.5
2008-10-13,6071.5
2008-10-10,6070.5
2008-10-09,6069.5
2008-10-08,6068.5
2008-10-07,6067.5
2008-10-06,6066.5
2008-10-03,6065.5
2008-10-02,6064.5
2008-10-01,6063.5
2008-09-30,6062.5
2008-09-29,6061.5
2008-09-26,6060.5
2008-09-25,6059.5
2008-09-24,6058.5
2008-09-23,6057.5
2008-09-22,6056.5
2008-09-19,6055.5
2008-09-18,6054.5
2008-09-17,6053.5
2008-09-16,6052.5
2008-09-15,6051.5
2008-09-12,6050.5
2008-09-11,6049.5
2008-09-10,6048.5
2008-09-09,6047.5
2008-09-08,6046.5
2008-09-05,6045.5
2008-09-04,6044.5
2008-09-03,6043.5
2008-09-02,6042.5
2008-09-01,6041.5
2008-08-29,6040.5
2008-08-28,6039.5
2008-08-27,6038.5
2008-08-26,6037.5
2008-08-22,6036.5
2008-08-21,6035.5
2008-08-20,6034.5
2008-08-19,6033.5
2008-08-18,6032.5
2008-08-15,6031.5
2008-08-14,6030.5
2008-08-13,6029.5
2008-08-12,6028.5
2008-08-11,6027.5
2008-08-08,6026.5
2008-08-07,6025.5
2008-08-06,6024.5
2008-08-05,6023.5
2008-08-04,6022.5
2008-08-01,6021.5
2008-07-31,6020.5
2008-07-30,6019.5
2008-07-29,6018.5
2008-07-28,6017.5
2008-07-25,6016.5
2008-07-24,6015.5
2008-07-23,6014.5
2008-07-22,6013.5
2008-07-21,6012.5
2008-07-18,6011.5
2008-07-17,6010.5
2008-07-16,6009.5
2008-07-15,6008.5
2008-07-14,6007.5
2008-07-11,6006.5
2008-07-10,6005.5
2008-07-09,6004.5
2008-07-08,6003.5
2008-07-07,6002.5
2008-07-04,6001.5
2008-07-03,6000.5
2008-07-02,5999.5
2008-07-01,5998.5
2008-06-30,5997.5
2008-06-27,5996.5
2008-06-26,5995.5
2008-06-25,5994.5
2008-06-24,5993.5
2008-06-23,5992.5
2008-06-20,5991.5
2008-06-19,5990.5
2008-06-18,5989.5
2008-06-17,5988.5
2008-06-16,5987.5
2008-06-13,5986.5
2008-06-12,5985.5
2008-06-11,5984.5
2008-06-10,5983.5
2008-06-09,5982.5
2008-06-06,5981.5
2008-06-05,5980.5
2008-06-04,5979.5
2008-06-03,5978.5
2008-06-02,5977.5
2008-05-30,5976.5
2008-05-29,5975.5
2008-05-28,5974.5
2008-05-27,5973.5
2008-05-23,5972.5
2008-05-22,5971.5
2008-05-21,5970.5
2008-05-20,5969.5
2008-05-19,5968.5
2008-05-16,5967.5
2008-05-15,5966.5
2008-05-14,5965.5
2008-05-13,5964.5
2008-05-12,5963.5
2008-05-09,5962.5
2008-05-08,5961.5
2008-05-07,5960.5
2008-05-06,5959.5
2008-05-02,5958.5
2008-05-01,5957.5
2008-04-30,5956.5
2008-04-29,5955.5
2008-04-28,5954.5
2008-04-25,5953.5
2008-04-24,5952.5
2008-04-23,5951.5
2008-04-22,5950.5
2008-04-21,5949.5
2008-04-18,5948.5
2008-04-17,5947.5
2008-04-16,5946.5
2008-04-15,5945.5
2008-04-14,5944.5
2008-04-11,5943.5
2008-04-10,5942.5
2008-04-09,5941.5
2008-04-08,5940.5
2008-04-07,5939.5
2008-04-04,5938.5
2008-04-03,5937.5
2008-04-02,5936.5
2008-04-01,5935.5
2008-03-31,5934.5
2008-03-28,5933.5
2008-03-27,5932.5
2008-03-26,5931.5
2008-03-25,5930.5
2008-03-20,5929.5
2008-03-19,5928.5
2008-03-18,5927.5
2008-03-17,5926.5
2008-03-14,5925.5
2008-03-13,5924.5
2008-03-12,5923.5
2008-03-11,5922.5
2008-03-10,5921.5
2008-03-07,5920.5
2008-03-06,5919.5
2008-03-05,5918.5
2008-03-04,5917.5
2008-03-03,5916.5
2008-02-29,5915.5
2008-02-28,5914.5
2008-02-27,5913.5
2008-02-26,5912.5
2008-02-25,5911.5
2008-02-22,5910.5
2008-02-21,5909.5
2008-02-20,5908.5
2008-02-19,5907.5
2008-02-15,5906.5
2008-02-14,5905.5
2008-02-13,5904.5
2008-02-12,5903.5
2008-02-11,5902.5
2008-02-08,5901.5
2008-02-07,5900.5
2008-02-06,5899.5
2008-02-05,5898.5
2008-02-04,5897.5
2008-02-01,5896.5
2008-01-31,5895.5
2008-01-30,5894.5
2008-01-29,5893.5
2008-01-28,5892.5
2008-01-25,5891.5
2008-01-24,5890.5
2008-01-23,5889.5
2008-01-22,5888.5
2008-01-21,5887.5
2008-01-18,5886.5
2008-01-17,5885.5
2008-01-16,5884.5
2008-01-15,5883.5
2008-01-14,5882.5
2008-01-11,5881.5
2008-01-10,5880.5
2008-01-09,5879.5
2008-01-08,5878.5
2008-01-07,5877.5
2008-01-04,5876.5
2008-01-03,5875.5
2008-01-02,5874.5
2007-12-31,5873.5
2007-12-28,5872.5
2007-12-27,5871.5
2007-12-24,5870.5
2007-12-21,5869.5
2007-12-20,5868.5
2007-12-19,5867.5
2007-12-18,5866.5
2007-12-17,5865.5
2007-12-14,5864.5
2007-12-13,5863.5
2007-12-12,5862.5
2007-12-11,5861.5
2007-12-10,5860.5
2007-12-07,5859.5
2007-12-06,5858.5
2007-12-05,5857.5
2007-12-04,5856.5
2007-12-03,5855.5
2007-11-30,5854.5
2007-11-29,5853.5
2007-11-28,5852.5
2007-11-27,5851.5
2007-11-26,5850.5
2007-11-23,5849.5
2007-11-22,5848.5
2007-11-21,5847.5
2007-11-20,5846.5
2007-11-19,5845.5
2007-11-16,5844.5
2007-11-15,5843.5
2007-11-14,5842.5
2007-11-13,5841.5
2007-11-12,5840.5
2007-11-09,5839.5
2007-11-08,5838.5
2007-11-07,5837.5
2007-11-06,5836.5
2007-11-05,5835.5
2007-11-02,5834.5
2007-11-01,5833.5
2007-10-31,5832.5
2007-10-30,5831.5
2007-10-29,5830.5
2007-10-26,5829.5
2007-10-25,5828.5
2007-10-24,5827.5
2007-10-23,5826.5
2007-10-22,5825.5
2007-10-19,5824.5
2007-10-18,5823.5
2007-10-17,5822.5
2007-10-16,5821.5
2007-10-15,5820.5
2007-10-12,5819.5
2007-10-11,5818.5
2007-10-10,5817.5
2007-10-09,5816.5
2007-10-08,5815.5
2007-10-05,5814.5
2007-10-04,5813.5
2007-10-03,5812.5
2007-10-02,5811.5
2007-10-01,5810.5
2007-09-28,5809.5
2007-09-27,5808.5
2007-09-26,5807.5
2007-09-25,5806.5
2007-09-24,5805.5
2007-09-21,5804.5
2007-09-20,5803.5
2007-09-19,5802.5
2007-09-18,5801.5
2007-09-17,5800.5
2007-09-14,5799.5
2007-09-13,5798.5
