Date,Position,Equity,Debt
2009-05-21,1,392.157747496,0.0
2009-05-20,1,403.24880426,0.0
2009-05-19,1,404.503203682,0.0
2009-05-18,1,401.272448335,0.0
2009-05-15,1,392.392383359,0.0
2009-05-14,1,393.700929519,0.0
2009-05-13,1,390.885299161,0.0
2009-05-12,1,399.377312517,0.0
2009-05-11,1,400.279758145,0.0
2009-05-08,1,402.680263514,0.0
2009-05-07,1,396.958758235,0.0
2009-05-06,1,396.760220197,0.0
2009-05-05,1,391.381644256,0.0
2009-05-01,1,382.925728725,0.0
2009-04-30,1,382.970851006,0.0
2009-04-29,1,378.088620161,0.0
2009-04-28,1,369.677826911,0.0
2009-04-27,1,376.049093042,0.0
2009-04-24,1,375.056402852,0.0
2009-04-23,1,362.620702103,0.0
2009-04-22,1,363.748759137,0.0
2009-04-21,1,359.850194026,0.0
2009-04-20,1,360.157025539,0.0
2009-04-17,1,369.352946485,0.0
2009-04-16,1,365.761212887,0.0
2009-04-15,1,358.126522877,0.0
2009-04-14,1,359.98556087,0.0
2009-04-09,1,359.507264687,0.0
2009-04-08,1,354.255031134,0.0
2009-04-07,1,354.706253948,0.0
2009-04-06,1,360.391661402,0.0
2009-04-03,1,363.658514575,0.0
2009-04-02,1,372.258821406,0.0
2009-04-01,1,356.971392474,0.0
2009-03-31,1,354.309177872,0.0
2009-03-30,1,339.581265229,0.0
2009-03-27,1,351.854525765,0.0
2009-03-26,1,354.227957766,0.0
2009-03-25,1,351.980868153,0.0
2009-03-24,1,352.991607256,0.0
2009-03-23,1,356.718707698,0.0
2009-03-20,1,346.80083025,0.0
2009-03-19,1,344.454471618,0.0
2009-03-18,1,343.380561321,0.0
2009-03-17,1,348.082303041,0.0
2009-03-16,1,348.704990524,0.0
2009-03-13,1,338.751015251,0.0
2009-03-12,1,334.99684144,0.0
2009-03-11,1,333.345365942,0.0
2009-03-10,1,335.276599585,0.0
2009-03-09,1,319.682339139,0.0
2009-03-06,1,318.626477755,0.0
2009-03-05,1,318.554282105,0.0
2009-03-04,1,329.022651385,0.0
2009-03-03,1,316.947928887,0.0
2009-03-02,1,327.208735674,0.0
2009-02-27,1,345.645699847,0.0
2009-02-26,1,353.361609963,0.0
2009-02-25,1,347.351322083,0.0
2009-02-24,1,344.409349337,0.0
2009-02-23,1,347.50473784,0.0
2009-02-20,1,350.97012905,0.0
2009-02-19,1,362.638751015,0.0
2009-02-18,1,361.591914087,0.0
2009-02-17,1,364.055590651,0.0
2009-02-16,1,373.143218121,0.0
2009-02-13,1,378.088620161,0.0
2009-02-12,1,379.225701651,0.0
2009-02-11,1,382.122552116,0.0
2009-02-10,1,380.209367386,0.0
2009-02-09,1,388.737478567,0.0
2009-02-06,1,387.320638932,0.0
2009-02-05,1,381.635231477,0.0
2009-02-04,1,381.608158108,0.0
2009-02-03,1,375.823481635,0.0
2009-02-02,1,367.999278044,0.0
2009-01-30,1,374.47883765,0.0
2009-01-29,1,378.133742442,0.0
2009-01-28,1,387.618445989,0.0
2009-01-27,1,378.521794062,0.0
2009-01-26,1,379.839364678,0.0
2009-01-23,1,365.716090606,0.0
2009-01-22,1,365.689017237,0.0
2009-01-21,1,366.38390037,0.0
2009-01-20,1,369.226604097,0.0
2009-01-19,1,370.76978612,0.0
2009-01-16,1,374.253226243,0.0
