Date,EWSTDEV_14,EWSTDEV_25,EWSTDEV_50,EWSTDEV_100,EWSTDEV_250,EWSTDEV_500
2001-03-14,127.51705413,154.913376863,174.947672847,191.296746707,224.590938347,477.775270672
2001-03-13,104.457743683,138.547012448,162.223747608,181.999577569,220.167428904,477.852399786
2001-03-12,96.2570094431,132.217214406,155.861621088,176.611030209,217.477517835,478.284424252
2001-03-09,99.455556859,133.070361149,154.09922154,174.070538775,216.031766687,478.949564707
2001-03-08,106.772829765,137.966438736,155.504719126,173.66299389,215.537405848,479.77404664
2001-03-07,114.638196445,142.951911677,156.767890702,173.124779149,215.001502718,480.597217414
2001-03-06,122.856642203,148.328438771,158.238670043,172.717798108,214.541264688,481.436240317
2001-03-05,129.703772223,149.905339901,156.190943823,169.933520518,213.113968694,482.132927574
2001-03-02,126.343846253,143.247658507,148.623888822,163.986006833,210.548779766,482.653256983
2001-03-01,127.430196068,139.745581923,143.317350769,159.534683306,208.655718993,483.297726713
2001-02-28,127.440162554,135.251939214,137.539617697,154.986198046,206.821701232,483.962563943
2001-02-27,128.266600726,131.224681849,132.272696635,150.902796158,205.24548075,484.676886998
2001-02-26,121.212333883,121.405360204,123.759885134,145.311130157,203.248723904,485.337975597
2001-02-23,113.270245676,111.382939428,115.754645569,140.313862506,201.568111174,486.056619268
2001-02-22,111.342709358,106.063644516,111.0265636,137.23192565,200.60365226,486.882351377
2001-02-21,97.305833655,92.7128436056,102.498609346,132.555783468,199.205531676,487.65688641
2001-02-20,70.6873738301,73.4319654749,92.595160361,127.699434161,197.853867268,488.445471699
2001-02-19,64.0037631236,68.647595723,90.4964526762,126.596536316,197.71353565,489.381864886
2001-02-16,47.6714166328,60.4353856309,87.5263564647,125.19488493,197.50586781,490.315028832
2001-02-15,50.0155059712,62.3450401994,88.9368928921,125.990731665,198.03502041,491.296613242
2001-02-14,49.0964715581,62.9932947676,89.8285355544,126.469208298,198.45204072,492.27870589
2001-02-13,52.6446837385,65.5552133153,91.6085894466,127.552966204,199.101458959,493.25976397
2001-02-12,56.5203158775,68.1817938563,93.459450506,128.729829338,199.792901128,494.238584634
2001-02-09,52.5594178266,67.9915838164,94.0191555725,128.988149309,200.137787801,495.22421801
2001-02-08,53.6923561039,70.1321326449,95.5933946412,129.843857344,200.697711661,496.215172139
2001-02-07,56.4290331288,72.8634551008,97.4344486379,130.897014359,201.335678991,497.204832219
2001-02-06,58.7776885198,74.2145867298,98.937703632,132.204689764,202.131170431,498.161113807
2001-02-05,62.7601805727,76.6410216229,100.812182669,133.518447213,202.894733994,499.135990621
2001-02-02,67.3666906576,79.4971567782,102.816700336,134.804629076,203.632738945,500.119739856
2001-02-01,72.3563330133,82.5421265289,104.879675416,136.081219243,204.361046461,501.107583383
2001-01-31,74.99160659,83.5575845348,106.408296255,137.436431165,205.171063037,502.067711228
2001-01-30,70.3973112023,80.5637322796,106.827180584,138.630847537,205.988741505,502.993204695
2001-01-29,65.4896983441,78.2142139363,107.730798929,139.940692672,206.814273494,503.938635068
2001-01-26,61.5528464207,77.1679112611,109.19605619,141.337268398,207.63129334,504.906083313
2001-01-25,61.9916340148,78.6136033229,111.289218622,142.705873737,208.384913973,505.900777026
2001-01-24,59.328343436,79.2194454788,113.319498094,144.115524512,209.160918608,506.892590302
2001-01-23,62.1832961804,82.1346363084,115.572112114,145.230136576,209.784740122,507.905234779
2001-01-22,62.5682075198,84.485757067,117.905965194,146.494419377,210.473249089,508.915505801
2001-01-19,64.9125402217,87.6301742339,120.217172919,147.558828133,211.074578866,509.933051331
2001-01-18,66.6911313623,90.8468555346,122.574917564,148.626800694,211.677705354,510.952538466
2001-01-17,69.2831151485,94.4223607628,124.859630861,149.544882125,212.22287271,511.975304545
2001-01-16,69.3301609266,93.9540316948,123.621715735,148.083071679,211.964861698,512.954838872
2001-01-15,74.2737191905,97.657763523,125.334829214,148.497386378,212.349919922,513.98003882
2001-01-12,79.6693635534,101.406911005,126.910914591,148.788902053,212.700676986,515.006397543
2001-01-11,83.9900894496,103.068351565,126.697484127,147.913390389,212.682156348,516.014530228
2001-01-10,79.9443458019,99.152427502,123.24747099,145.261163382,212.14640242,516.980539189
2001-01-09,77.6546422846,96.6801527362,120.803656332,143.260202533,211.854387105,517.973289038
2001-01-08,81.7882336565,98.4898547259,120.958869124,142.780587532,212.049046358,519.003036017
2001-01-05,87.8414743558,102.215836924,122.536892123,143.209851667,212.535035705,520.041980789
2001-01-04,94.2915490006,105.689629256,123.744000013,143.377243269,212.948737746,521.082897743
2001-01-03,77.3086192832,94.0999102776,116.547692677,139.056130589,212.104845566,522.035785575
2001-01-02,80.9074734908,95.6153482291,116.712199507,138.734446778,212.427871722,523.079528784
2000-12-29,86.8964758399,99.1448074406,118.268819046,139.270113289,213.006021185,524.123547388
2000-12-28,93.3316185729,102.787815748,119.81859624,139.790790082,213.586031209,525.169479991
2000-12-27,100.186072798,106.375673959,121.211265681,140.200309222,214.141324651,526.218528385
2000-12-22,92.4301457006,99.4741258271,116.543902862,137.366925438,213.839418445,527.236963694
2000-12-21,81.9756348293,92.1201551108,112.208045873,134.884181997,213.680219539,528.269185242
2000-12-20,79.0234839958,90.0930359525,110.918558405,134.03988955,213.97413094,529.325638835
2000-12-19,84.7363571903,93.7718050644,113.045232903,135.156745652,214.773421694,530.346738394
2000-12-18,89.8357811531,96.5067378601,114.311227958,135.686796754,215.428824855,531.397942763
2000-12-15,84.4550972893,93.372767133,112.565659717,134.663172886,215.710946411,532.460620081
2000-12-14,89.1521145372,96.2185536979,114.032742326,135.359858465,216.42563568,533.508006744
2000-12-13,87.3401943234,96.4363798318,115.423976191,136.572095743,217.248431421,534.410535541
2000-12-12,84.8595852516,97.0876012263,117.086347585,137.865176363,218.09411173,535.333169346
2000-12-11,82.994165696,98.7255426207,119.119237165,139.237926955,218.962935731,536.285183793
2000-12-08,88.6999732575,102.748793868,121.28629273,140.292598611,219.762907059,537.323333218
2000-12-07,94.2961737783,105.334491494,122.16378587,140.527846349,220.368906523,538.392819562
2000-12-06,101.272457644,109.383069013,124.06890976,141.383317146,221.130792036,539.445041282
2000-12-05,108.001609476,113.849014405,126.380802975,142.512427389,221.95911361,540.480826076
2000-12-04,107.3100686,110.607218684,123.741125981,140.899594195,222.141616299,541.559320283
2000-12-01,105.720704908,106.973446996,121.208081733,139.459960766,222.396188445,542.642137619
2000-11-30,93.2001719318,97.0550179424,116.108088842,136.944356739,222.43436138,543.720119593
2000-11-29,75.8818264922,86.4310755766,111.638122072,134.93963688,222.630098592,544.806321584
2000-11-28,71.255436372,84.3991775531,111.396526618,134.990022647,223.293327824,545.883892556
2000-11-27,76.2240285614,87.7634865295,113.642277711,136.340817212,224.185881094,546.851072076
2000-11-24,81.0200546398,90.793510979,115.61829754,137.475136495,225.061826469,547.875456222
2000-11-23,81.4657710874,91.6624469716,116.683737822,138.148585721,225.860292024,548.936579144
2000-11-22,60.6372250159,84.2839547664,114.783239622,137.500928433,226.402529264,550.031514556
2000-11-21,64.9353625044,87.7254026843,117.10199057,138.878039376,227.304802568,550.995182704
2000-11-20,66.3528393138,90.6051378445,119.241344048,140.122720131,228.208787656,552.007597344
2000-11-17,69.6236660063,92.880434194,121.062468819,141.3572202,229.024074095,552.878965486
2000-11-16,73.5574284812,95.5373073003,123.066812713,142.66165689,229.865555966,553.768167837
2000-11-15,77.2949473963,98.0469090586,125.047996301,143.964170187,230.704969671,554.654353319
2000-11-14,82.3309569417,101.327063939,127.34108431,145.36921164,231.586865559,555.574462512
2000-11-13,75.6564674919,101.581685598,128.296487324,145.926464756,232.379489827,556.65608217
2000-11-10,81.2680823523,105.500140823,130.808569324,147.386374185,233.287808221,557.599294958
2000-11-09,85.4854626243,107.94135102,132.774969662,148.680346201,234.115615593,558.470771188
2000-11-08,84.7956657723,107.570400435,133.784698705,149.639210497,234.827719355,559.271660166
2000-11-07,83.5672817428,107.303194283,135.025523038,150.71120062,235.579515721,560.09415909
2000-11-06,85.707652077,109.110388406,137.106276774,152.087275397,236.439967255,560.986112102
